"sp_taxon_1";"sp_taxon_2";"value";"type"
"mussels";"nearshore phytoplankton";"1";"herbivory"
"chitons";"macroalgae";"1";"herbivory"
"gastropods";"macroalgae";"1";"herbivory"
"limpets";"macroalgae";"1";"herbivory"
"sea urchins";"detritus";"1";"commensalism"
"sea urchins";"macroalgae";"1";"herbivory"
"sea urchins";"nearshore phytoplankton";"1";"herbivory"
"epibenthic crustacea";"detritus";"1";"commensalism"
"asteroids";"mussels";"1";"predation"
"asteroids";"chitons";"1";"predation"
"asteroids";"gastropods";"1";"predation"
"asteroids";"limpets";"1";"predation"
"decapods";"detritus";"1";"commensalism"
"decapods";"mussels";"1";"predation"
"nearshore fishes";"chitons";"1";"predation"
"nearshore fishes";"gastropods";"1";"predation"
"nearshore fishes";"limpets";"1";"predation"
"nearshore fishes";"sea urchins";"1";"predation"
"nearshore fishes";"epibenthic crustacea";"1";"predation"
"octopuses";"decapods";"1";"predation"
"prehistoric Aleut man";"mussels";"1";"predation"
"prehistoric Aleut man";"chitons";"1";"predation"
"prehistoric Aleut man";"gastropods";"1";"predation"
"prehistoric Aleut man";"limpets";"1";"predation"
"prehistoric Aleut man";"sea urchins";"1";"predation"
"prehistoric Aleut man";"decapods";"1";"predation"
"prehistoric Aleut man";"nearshore fishes";"1";"predation"
"prehistoric Aleut man";"octopuses";"1";"predation"
