"Closs, G.P., and Lake, P.S. (1994). Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web. Ecological Monographs. 64, pp. 1-21.",,,,,,,,,,,,,,,,,,,,,
The Lerderderg River - Site C - December 1985,Tubificidae sp. (Oligochaeta),Naididae sp. (Oligochaeta),Lumbricidae sp. (Oligochaeta),Angrobia sp. (Mollusca - Gastropoda),Glacidorbis hedleyi (Mollusca - Gastropoda),Sphaerium tasmanicum (Mollusca - Bivalvia),Paramerina sp. (Diptera - Chironomidae),Riethia sp. (Diptera - Chironomidae),Cricotopus annuliventrus (Diptera - Chironomidae),Parakieferiella sp. (Diptera - Chironomidae),Thienmaniella trivittata (Diptera - Chironomidae),Chironomidae sp. (Chironomidae - Diptera),Orthocladiinae sp. 8 (Chironomidae - Diptera),Tanypod sp. (Chironomidae - Diptera),Agapetus kimminsii (Trichoptera - Glossomatidae),Koorononga pilosa (Ephemeroptera - Leptophlebiidae),Austrocerca tillyardi (Pisces - Gripopterygidae),Acruroperla atra (Pisces - Austroperlidae),Dinotoperla serricauda (Pisces - Gripopterygidae),Ilyocypris australiensis (Crustacea - Ostracoda),Afrochiltonia australis (Crustacea - Amphipoda)
Amorphous detritus,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dead cellular plant material,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algae spp.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Tetraedron sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Tabellaria sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Navicula sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Tubificidae sp. (Oligochaeta),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naididae sp. (Oligochaeta),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumbricidae sp. (Oligochaeta),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riethia sp. (Diptera - Chironomidae),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cricotopus annuliventrus (Diptera - Chironomidae),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thienmaniella trivittata (Diptera - Chironomidae),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironomidae sp. (Chironomidae - Diptera),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae sp. 8 (Chironomidae - Diptera),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanypod sp. (Chironomidae - Diptera),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koorononga pilosa (Ephemeroptera - Leptophlebiidae),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
