"Closs, G.P., and Lake, P.S. (1994). Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web. Ecological Monographs. 64, pp. 1-21.",,,,,,,,,,,,,,,
The Lerderderg River - Site A - May 1985,Tubificidae sp. (Oligochaeta),Naididae sp. (Oligochaeta),Lumbricidae sp. (Oligochaeta),Ferrissia sp. (Mollusca - Gastropoda),Angrobia sp. (Mollusca - Gastropoda),Physastra gibbosa (Mollusca - Gastropoda),Chironomus sp. (Diptera - Chironomidae),Paramerina sp. (Diptera - Chironomidae),Orthocladiinae sp. 1 (Chironomidae),Triplectides truncatus (Trichoptera - Leptoceridae),Triplectides ciuskeus (Trichoptera - Leptoceridae),Helicopsychidae sp. (Trichoptera),Necterosoma penicillatus - adult (Chironomidae - Dytiscidae),Eucyclops sp. (Copepoda),Macrocyclops albidus (Copepoda)
Amorphous detritus,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
Dead cellular plant material,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
Algae spp.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tetraedron sp.,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0
Tabellaria sp.,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0
Navicula sp.,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0
Tubificidae sp. (Oligochaeta),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Naididae sp. (Oligochaeta),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lumbricidae sp. (Oligochaeta),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chironomus sp. (Diptera - Chironomidae),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Orthocladiinae sp. 1 (Chironomidae),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eucyclops sp. (Copepoda),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
