"Closs, G.P., and Lake, P.S. (1994). Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web. Ecological Monographs. 64, pp. 1-21.",,,,,,,,,,,,,,,,,,,,,,,,,
The Lerderderg River - Site A - December 1985,Tubificidae sp. (Oligochaeta),Naididae sp. (Oligochaeta),Lumbricidae sp. (Oligochaeta),Angrobia sp. (Mollusca - Gastropoda),Glacidorbis hedleyi (Mollusca - Gastropoda),Sphaerium tasmanicum (Mollusca - Bivalvia),Paramerina sp. (Diptera - Chironomidae),Riethia sp. (Diptera - Chironomidae),Cricotopus annuliventrus (Diptera - Chironomidae),Rheotanytarsus sp. (Diptera - Chironomidae),Parakieferiella sp. (Diptera - Chironomidae),Thienmaniella trivittata (Diptera - Chironomidae),Chironomidae sp. (Chironomidae - Diptera),Orthocladiinae sp. 8 (Chironomidae - Diptera),Tanypod sp. (Chironomidae - Diptera),Agapetus kimminsii (Trichoptera - Glossomatidae),Koorononga pilosa (Ephemeroptera - Leptophlebiidae),Riekoperla rugosa (Pisces - Glossomatidae),Illiesoperla australis (Pisces - Glossomatidae),Austrocerca tillyardi (Pisces - Gripopterygidae),Acruroperla atra (Pisces - Austroperlidae),Dinotoperla serricauda (Pisces - Gripopterygidae),Necterosoma penicillatus - adult (Chironomidae - Dytiscidae),Macrogyrus oblongus - adult (Chironomidae  - Gyrinidae),Macrocyclops albidus (Copepoda)
Amorphous detritus,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
Dead cellular plant material,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
Algae spp.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Tetraedron sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tabellaria sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Navicula sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tubificidae sp. (Oligochaeta),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Naididae sp. (Oligochaeta),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Lumbricidae sp. (Oligochaeta),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Riethia sp. (Diptera - Chironomidae),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cricotopus annuliventrus (Diptera - Chironomidae),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rheotanytarsus sp. (Diptera - Chironomidae),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Parakieferiella sp. (Diptera - Chironomidae),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Thienmaniella trivittata (Diptera - Chironomidae),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironomidae sp. (Chironomidae - Diptera),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Orthocladiinae sp. 8 (Chironomidae - Diptera),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanypod sp. (Chironomidae - Diptera),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koorononga pilosa (Ephemeroptera - Leptophlebiidae),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Riekoperla rugosa (Pisces - Glossomatidae),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Terrestrial insects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
